channel,sku,shipment_id,quantity_sold,quantity_returned,gross_sale,taxes,net_sales,created_at
online,SKU-07599,SHP-0006766,3,0,660,138.6,521.4,2025-07-02 17:17:46.000000 UTC
online,SKU-05107,SHP-0029017,3,3,840,176.4,663.6,2025-07-02 04:09:41.000000 UTC
wholesale,SKU-09631,SHP-0020455,4,0,1120,0,1120,2025-07-02 10:50:59.000000 UTC
online,SKU-09631,SHP-0013774,4,0,1120,235.2,884.8,2025-07-02 01:43:04.000000 UTC
wholesale,SKU-07929,SHP-0029557,1,1,60,0,60,2025-03-25 05:54:10.000000 UTC
marketplace,SKU-08484,SHP-0023312,4,0,1200,252,948,2025-03-25 03:51:50.000000 UTC
wholesale,SKU-05498,SHP-0007901,1,0,400,0,400,2025-10-24 14:44:33.000000 UTC
wholesale,SKU-05221,SHP-0025476,1,0,550,0,550,2025-10-24 17:36:54.000000 UTC
wholesale,SKU-01808,SHP-0004830,2,1,700,0,700,2025-10-24 06:13:34.000000 UTC
wholesale,SKU-08987,SHP-0021452,2,0,160,0,160,2025-10-24 17:48:38.000000 UTC
wholesale,SKU-09423,SHP-0022405,3,0,360,0,360,2025-10-24 16:31:31.000000 UTC
marketplace,SKU-02493,SHP-0023406,3,0,270,56.7,213.3,2025-10-24 13:40:54.000000 UTC
online,SKU-04977,SHP-0024891,4,0,1400,294,1106,2025-10-24 03:47:29.000000 UTC
wholesale,SKU-06665,SHP-0008219,1,0,250,0,250,2025-07-16 04:43:42.000000 UTC
wholesale,SKU-02427,SHP-0009028,1,0,60,0,60,2025-07-16 05:32:05.000000 UTC
wholesale,SKU-09656,SHP-0024592,2,0,400,0,400,2025-07-16 23:33:26.000000 UTC
online,SKU-09214,SHP-0018756,2,0,500,105,395,2025-07-16 14:14:03.000000 UTC
online,SKU-04081,SHP-0002971,3,0,1200,252,948,2025-07-16 14:56:34.000000 UTC
online,SKU-02680,SHP-0014647,3,0,1200,252,948,2025-07-16 15:28:33.000000 UTC
wholesale,SKU-01203,SHP-0029056,1,0,60,0,60,2026-02-04 21:00:25.000000 UTC
online,SKU-05221,SHP-0011288,2,0,1100,231,869,2026-02-04 10:14:13.000000 UTC
online,SKU-03628,SHP-0010167,3,0,270,56.7,213.3,2026-02-04 12:07:30.000000 UTC
online,SKU-05523,SHP-0020132,3,0,1050,220.5,829.5,2026-02-04 11:49:44.000000 UTC
wholesale,SKU-02610,SHP-0021736,1,0,400,0,400,2025-02-18 01:47:14.000000 UTC
wholesale,SKU-09176,SHP-0010824,1,0,250,0,250,2025-02-18 20:06:51.000000 UTC
marketplace,SKU-05221,SHP-0013358,2,0,1100,231,869,2025-02-18 09:24:31.000000 UTC
wholesale,SKU-04812,SHP-0014999,3,0,660,0,660,2025-02-18 14:09:50.000000 UTC
wholesale,SKU-01706,SHP-0027653,3,0,540,0,540,2025-02-18 14:14:49.000000 UTC
online,SKU-01677,SHP-0020142,3,0,840,176.4,663.6,2025-02-18 04:30:18.000000 UTC
wholesale,SKU-02061,SHP-0029340,1,0,30,0,30,2026-02-18 05:48:30.000000 UTC
wholesale,SKU-07707,SHP-0008547,2,0,400,0,400,2026-02-18 23:33:40.000000 UTC
marketplace,SKU-01813,SHP-0011720,3,0,1650,346.5,1303.5,2026-02-18 02:38:30.000000 UTC
wholesale,SKU-01203,SHP-0004413,1,0,60,0,60,2026-03-12 00:20:10.000000 UTC
wholesale,SKU-06130,SHP-0021088,1,0,30,0,30,2026-03-12 00:46:20.000000 UTC
online,SKU-92115,SHP-0017430,2,1,800,168,632,2026-03-12 08:23:22.000000 UTC
online,SKU-02610,SHP-0006065,2,0,800,168,632,2026-03-12 16:10:57.000000 UTC
marketplace,SKU-90740,SHP-0025969,2,0,500,105,395,2026-03-12 11:22:31.000000 UTC
online,SKU-09214,SHP-0011843,2,2,500,105,395,2026-03-12 13:22:22.000000 UTC
online,SKU-08843,SHP-0017751,3,0,540,113.4,426.6,2026-03-12 15:17:55.000000 UTC
online,SKU-09785,SHP-0005730,4,0,1400,294,1106,2026-03-12 08:07:38.000000 UTC
wholesale,SKU-01952,SHP-0015465,1,0,90,0,90,2026-02-05 03:46:00.000000 UTC
wholesale,SKU-08658,SHP-0004446,2,0,160,0,160,2026-02-05 21:42:15.000000 UTC
wholesale,SKU-09176,SHP-0010226,1,1,250,0,250,2026-02-05 21:33:50.000000 UTC
wholesale,SKU-05203,SHP-0011883,1,0,90,0,90,2026-03-23 02:28:25.000000 UTC
wholesale,SKU-05145,SHP-0026120,1,0,400,0,400,2026-03-23 17:29:17.000000 UTC
wholesale,SKU-07141,SHP-0022789,1,0,550,0,550,2026-03-23 22:49:31.000000 UTC
wholesale,SKU-07481,SHP-0003767,2,0,240,0,240,2026-03-23 03:14:28.000000 UTC
wholesale,SKU-09631,SHP-0010607,2,0,560,0,560,2026-03-23 21:06:02.000000 UTC
wholesale,SKU-04270,SHP-0018856,3,0,660,0,660,2026-03-23 06:04:13.000000 UTC
online,SKU-08297,SHP-0013213,3,2,660,138.6,521.4,2026-03-23 10:05:47.000000 UTC
online,SKU-07255,SHP-0017313,3,0,540,113.4,426.6,2026-03-23 12:12:45.000000 UTC
wholesale,SKU-05107,SHP-0020691,4,0,1120,0,1120,2026-03-23 03:09:51.000000 UTC
online,SKU-04746,SHP-0015107,4,0,720,151.2,568.8,2026-03-23 04:01:02.000000 UTC
wholesale,SKU-03628,SHP-0022448,1,0,90,0,90,2024-10-12 16:24:19.000000 UTC
wholesale,SKU-03880,SHP-0001006,1,0,30,0,30,2024-10-12 19:20:16.000000 UTC
retail,SKU-04869,SHP-0012329,2,0,1100,231,869,2024-10-12 11:27:47.000000 UTC
marketplace,SKU-07922,SHP-0026466,3,0,660,138.6,521.4,2024-10-12 01:33:08.000000 UTC
online,SKU-09878,SHP-0026705,3,0,660,138.6,521.4,2024-10-12 08:17:51.000000 UTC
online,SKU-09176,SHP-0012758,3,0,750,157.5,592.5,2024-10-12 18:26:55.000000 UTC
wholesale,SKU-09925,SHP-0012495,2,0,700,0,700,2024-10-24 02:51:19.000000 UTC
wholesale,SKU-06386,SHP-0027632,2,0,440,0,440,2024-10-24 18:29:18.000000 UTC
wholesale,SKU-05944,SHP-0009341,4,0,1400,0,1400,2024-10-24 16:54:13.000000 UTC
online,SKU-08007,SHP-0019450,4,0,800,168,632,2024-10-24 23:03:22.000000 UTC
wholesale,SKU-08313,SHP-0017200,2,0,700,0,700,2024-07-01 17:43:14.000000 UTC
wholesale,SKU-01829,SHP-0001500,1,0,30,0,30,2024-07-01 20:21:34.000000 UTC
online,SKU-07141,SHP-0009948,4,0,2200,462,1738,2024-07-01 11:57:58.000000 UTC
wholesale,SKU-04221,SHP-0012444,1,0,90,0,90,2024-08-24 04:53:06.000000 UTC
wholesale,SKU-04081,SHP-0027691,1,0,400,0,400,2024-08-24 17:38:58.000000 UTC
online,SKU-02246,SHP-0009802,3,0,660,138.6,521.4,2024-08-24 11:02:54.000000 UTC
retail,SKU-08297,SHP-0010117,3,2,660,138.6,521.4,2024-08-24 18:05:32.000000 UTC
wholesale,SKU-04869,SHP-0010582,1,0,550,0,550,2025-06-08 06:00:09.000000 UTC
wholesale,SKU-02243,SHP-0004849,2,0,440,0,440,2025-06-08 19:46:18.000000 UTC
wholesale,SKU-09423,SHP-0010864,2,0,240,0,240,2025-06-08 20:43:58.000000 UTC
wholesale,SKU-04081,SHP-0011589,1,0,400,0,400,2025-06-08 23:47:04.000000 UTC
online,SKU-08396,SHP-0014421,3,1,840,176.4,663.6,2025-06-08 23:18:05.000000 UTC
online,SKU-03564,SHP-0008367,3,0,1350,283.5,1066.5,2025-06-08 12:22:03.000000 UTC
wholesale,SKU-09173,SHP-0015577,2,0,240,0,240,2024-07-15 18:09:51.000000 UTC
wholesale,SKU-05524,SHP-0023643,3,0,360,0,360,2024-07-15 22:13:13.000000 UTC
wholesale,SKU-05200,SHP-0010512,2,0,360,0,360,2024-07-15 23:37:14.000000 UTC
online,SKU-06682,SHP-0007770,3,0,1050,220.5,829.5,2024-07-15 16:45:05.000000 UTC
marketplace,SKU-01808,SHP-0010435,3,0,1050,220.5,829.5,2024-07-15 23:21:57.000000 UTC
wholesale,SKU-07481,SHP-0017257,3,0,360,0,360,2026-02-17 02:21:06.000000 UTC
wholesale,SKU-03014,SHP-0015198,1,0,550,0,550,2026-02-17 13:54:07.000000 UTC
wholesale,SKU-01952,SHP-0020471,1,0,90,0,90,2026-02-17 22:54:44.000000 UTC
retail,SKU-03628,SHP-9488072,3,0,270,56.7,213.3,2026-02-17 20:31:47.000000 UTC
wholesale,SKU-01203,SHP-0020421,1,1,60,0,60,2026-02-17 00:02:15.000000 UTC
online,SKU-09785,SHP-0006914,4,4,1400,294,1106,2025-03-24 03:55:44.000000 UTC
retail,SKU-05498,SHP-0010715,4,3,1600,336,1264,2025-03-24 12:22:17.000000 UTC
wholesale,SKU-07323,SHP-0020824,2,0,360,0,360,2025-03-24 09:27:17.000000 UTC
wholesale,SKU-01203,SHP-0009725,1,0,60,0,60,2025-08-23 01:05:28.000000 UTC
wholesale,SKU-04284,SHP-0007250,1,0,400,0,400,2025-08-23 02:04:52.000000 UTC
wholesale,SKU-03880,SHP-0001126,1,0,30,0,30,2025-08-23 07:08:32.000000 UTC
wholesale,SKU-09878,SHP-0002940,2,0,440,0,440,2025-08-23 01:03:50.000000 UTC
wholesale,SKU-01829,SHP-0003495,2,0,60,0,60,2025-08-23 08:55:38.000000 UTC
wholesale,SKU-08583,SHP-0011912,1,0,550,0,550,2025-10-22 13:15:59.000000 UTC
online,SKU-05498,SHP-0009960,2,0,800,168,632,2025-10-22 17:28:03.000000 UTC
wholesale,SKU-04284,SHP-0007697,3,0,1200,0,1200,2025-10-22 19:24:42.000000 UTC
online,SKU-09878,SHP-0008301,3,0,660,138.6,521.4,2025-10-22 00:34:01.000000 UTC
retail,SKU-06386,SHP-0004339,3,0,660,138.6,521.4,2025-10-22 03:06:14.000000 UTC
online,SKU-07829,SHP-0006291,3,3,1050,220.5,829.5,2025-10-22 04:07:56.000000 UTC
wholesale,SKU-07194,SHP-0009103,4,0,320,0,320,2025-10-22 12:36:59.000000 UTC
wholesale,SKU-02918,SHP-0008528,3,0,1350,0,1350,2024-07-18 12:46:29.000000 UTC
wholesale,SKU-04869,SHP-0001239,2,0,1100,0,1100,2024-07-18 21:20:26.000000 UTC
wholesale,SKU-08095,SHP-0001415,2,0,360,0,360,2025-03-12 23:19:02.000000 UTC
retail,SKU-03715,SHP-0014372,4,0,1400,294,1106,2025-03-12 15:50:25.000000 UTC
wholesale,SKU-03880,SHP-0023344,1,0,30,0,30,2025-03-23 02:18:43.000000 UTC
online,SKU-04812,SHP-0003882,3,0,660,138.6,521.4,2025-03-23 18:35:27.000000 UTC
online,SKU-09631,SHP-0016207,3,2,840,176.4,663.6,2025-03-23 23:47:29.000000 UTC
online,SKU-09423,SHP-0002146,4,0,480,100.8,379.2,2025-03-23 07:15:08.000000 UTC
wholesale,SKU-02366,SHP-0027197,1,0,250,0,250,2025-10-10 20:31:34.000000 UTC
retail,SKU-02497,SHP-0019307,3,0,840,176.4,663.6,2025-10-10 05:15:47.000000 UTC
online,SKU-08057,SHP-0025597,3,2,840,176.4,663.6,2025-10-10 19:06:59.000000 UTC
online,SKU-06666,SHP-0000943,3,0,1350,283.5,1066.5,2025-10-10 04:51:11.000000 UTC
marketplace,SKU-05131,SHP-0007296,4,0,480,100.8,379.2,2025-10-10 02:24:12.000000 UTC
wholesale,SKU-06130,SHP-0027773,1,0,30,0,30,2024-07-17 02:08:49.000000 UTC
wholesale,SKU-08095,SHP-0005168,3,0,540,0,540,2024-07-17 05:20:59.000000 UTC
retail,SKU-02366,SHP-0014303,3,0,750,157.5,592.5,2024-07-17 12:12:06.000000 UTC
online,SKU-02918,SHP-0025764,3,0,1350,283.5,1066.5,2024-07-17 09:22:05.000000 UTC
online,SKU-07824,SHP-0012335,4,0,1120,235.2,884.8,2024-07-17 05:58:37.000000 UTC
online,SKU-01813,SHP-0019085,3,0,1650,346.5,1303.5,2025-02-19 16:35:17.000000 UTC
online,SKU-08583,SHP-0001827,3,0,1650,346.5,1303.5,2025-02-19 16:44:28.000000 UTC
wholesale,SKU-06998,SHP-0029272,4,0,600,0,600,2025-08-21 05:57:47.000000 UTC
online,SKU-07702,SHP-0021932,4,0,1120,235.2,884.8,2025-08-21 00:57:21.000000 UTC
online,SKU-09631,SHP-0022874,4,0,1120,235.2,884.8,2025-08-21 19:48:57.000000 UTC
online,SKU-06011,SHP-0016773,4,0,480,100.8,379.2,2025-08-21 00:31:19.000000 UTC
wholesale,SKU-04270,SHP-0019503,2,0,440,0,440,2025-03-26 02:04:51.000000 UTC
wholesale,SKU-05413,SHP-0010916,1,0,30,0,30,2025-03-26 17:33:03.000000 UTC
wholesale,SKU-06838,SHP-0001012,4,0,480,0,480,2025-03-26 20:38:55.000000 UTC
wholesale,SKU-02680,SHP-0001194,2,0,800,0,800,2025-03-26 23:10:36.000000 UTC
online,SKU-06927,SHP-0020315,3,0,660,138.6,521.4,2025-03-26 10:58:11.000000 UTC
retail,SKU-07922,SHP-0012376,4,0,880,184.8,695.2,2025-03-26 06:36:11.000000 UTC
retail,SKU-07707,SHP-0001964,4,0,800,168,632,2025-03-26 23:49:03.000000 UTC
wholesale,SKU-04869,SHP-0009343,1,0,550,0,550,2025-08-24 03:29:05.000000 UTC
wholesale,SKU-01521,SHP-0002253,2,0,240,0,240,2025-08-24 05:03:25.000000 UTC
retail,SKU-05221,SHP-0027018,2,0,1100,231,869,2025-08-24 16:58:54.000000 UTC
online,SKU-09028,SHP-0007356,3,0,540,113.4,426.6,2025-08-24 19:04:53.000000 UTC
online,SKU-07255,SHP-0018008,3,0,540,113.4,426.6,2025-08-24 23:10:46.000000 UTC
wholesale,SKU-09176,SHP-0005377,1,0,250,0,250,2025-11-30 10:06:52.000000 UTC
wholesale,SKU-04249,SHP-0009282,2,0,60,0,60,2025-11-30 08:33:44.000000 UTC
wholesale,SKU-04249,SHP-0005419,2,0,60,0,60,2025-11-30 09:33:56.000000 UTC
retail,SKU-02610,SHP-0003697,2,0,800,168,632,2025-11-30 20:06:44.000000 UTC
retail,SKU-04812,SHP-0021308,3,3,660,138.6,521.4,2025-11-30 22:04:07.000000 UTC
retail,SKU-05107,SHP-0009626,3,2,840,176.4,663.6,2025-11-30 02:54:13.000000 UTC
retail,SKU-02497,SHP-0008101,3,0,840,176.4,663.6,2025-11-30 03:27:18.000000 UTC
online,SKU-09028,SHP-0019349,3,0,540,113.4,426.6,2025-11-30 04:30:47.000000 UTC
wholesale,SKU-01829,SHP-0029508,1,0,30,0,30,2025-02-03 08:02:26.000000 UTC
retail,SKU-02680,SHP-0027542,2,0,800,168,632,2025-02-03 23:56:15.000000 UTC
online,SKU-01065,SHP-0002403,3,0,840,176.4,663.6,2025-02-03 12:42:35.000000 UTC
wholesale,SKU-07896,SHP-0006220,4,0,480,0,480,2025-02-03 04:54:05.000000 UTC
retail,SKU-02243,SHP-0017639,4,0,880,184.8,695.2,2025-02-03 05:28:46.000000 UTC
wholesale,SKU-05840,SHP-0014335,2,0,900,0,900,2026-03-11 17:24:00.000000 UTC
marketplace,SKU-05145,SHP-0008686,2,0,800,168,632,2026-03-11 13:11:03.000000 UTC
wholesale,SKU-06682,SHP-0017900,3,0,1050,0,1050,2026-03-11 06:16:14.000000 UTC
wholesale,SKU-97400,SHP-0024656,3,0,1650,0,1650,2026-03-11 21:28:29.000000 UTC
online,SKU-08583,SHP-0007732,3,1,1650,346.5,1303.5,2026-03-11 10:38:27.000000 UTC
online,SKU-07824,SHP-0012254,4,1,1120,235.2,884.8,2026-03-11 02:31:34.000000 UTC
wholesale,SKU-04081,SHP-0025079,1,0,400,0,400,2026-02-16 08:31:40.000000 UTC
online,SKU-09176,SHP-0012091,4,0,1000,210,790,2026-02-16 04:35:55.000000 UTC
marketplace,SKU-04445,SHP-0005946,3,0,540,113.4,426.6,2026-02-02 00:36:51.000000 UTC
online,SKU-07255,SHP-9958689,3,0,540,113.4,426.6,2026-02-02 08:09:11.000000 UTC
retail,SKU-02610,SHP-0005692,2,0,800,168,632,2026-02-02 21:24:31.000000 UTC
online,SKU-06665,SHP-0023763,2,0,500,105,395,2026-02-02 09:44:00.000000 UTC
online,SKU-04641,SHP-0017070,3,0,660,138.6,521.4,2026-02-02 17:38:12.000000 UTC
wholesale,SKU-06682,SHP-0021472,2,0,700,0,700,2025-07-17 09:21:38.000000 UTC
wholesale,SKU-04971,SHP-0011532,3,0,360,0,360,2025-07-17 22:24:45.000000 UTC
retail,SKU-06583,SHP-0000982,3,0,660,138.6,521.4,2025-07-17 22:34:32.000000 UTC
online,SKU-05203,SHP-0002003,3,0,270,56.7,213.3,2025-07-17 08:06:32.000000 UTC
online,SKU-01952,SHP-0006212,3,0,270,56.7,213.3,2025-07-17 11:03:53.000000 UTC
online,SKU-01952,SHP-0007835,3,3,270,56.7,213.3,2025-07-17 17:24:18.000000 UTC
online,SKU-05898,SHP-0007214,3,0,540,113.4,426.6,2025-07-17 14:37:27.000000 UTC
online,SKU-07707,SHP-0028870,4,4,800,168,632,2025-07-17 22:15:09.000000 UTC
wholesale,SKU-05413,SHP-0025222,1,0,30,0,30,2026-01-09 02:28:18.000000 UTC
wholesale,SKU-08583,SHP-0013964,1,0,550,0,550,2026-01-09 12:47:52.000000 UTC
wholesale,SKU-07252,SHP-0022654,2,0,900,0,900,2026-01-09 05:10:22.000000 UTC
online,SKU-08165,SHP-0010893,3,0,660,138.6,521.4,2026-01-09 14:59:45.000000 UTC
online,SKU-09785,SHP-0018290,3,0,1050,220.5,829.5,2026-01-09 05:16:58.000000 UTC
wholesale,SKU-05203,SHP-0002381,4,0,360,0,360,2026-01-09 13:30:02.000000 UTC
wholesale,SKU-09423,SHP-0027597,4,0,480,0,480,2026-01-09 16:20:13.000000 UTC
wholesale,SKU-09028,SHP-0028309,4,0,720,0,720,2026-01-09 16:25:17.000000 UTC
wholesale,SKU-09176,SHP-0018671,1,0,250,0,250,2024-07-02 15:33:40.000000 UTC
wholesale,SKU-03014,SHP-0024091,1,0,550,0,550,2024-07-02 15:47:55.000000 UTC
wholesale,SKU-02680,SHP-0001395,1,0,400,0,400,2024-07-02 23:24:01.000000 UTC
online,SKU-05498,SHP-0011758,3,0,1200,252,948,2024-07-02 22:50:23.000000 UTC
online,SKU-06048,SHP-0011944,4,0,720,151.2,568.8,2024-07-02 12:02:24.000000 UTC
online,SKU-01788,SHP-0028439,4,0,480,100.8,379.2,2024-07-02 05:29:59.000000 UTC
wholesale,SKU-02366,SHP-0005637,1,0,250,0,250,2025-04-30 06:36:02.000000 UTC
wholesale,SKU-03628,SHP-0006872,1,0,90,0,90,2025-04-30 15:00:49.000000 UTC
wholesale,SKU-07887,SHP-0003997,1,0,60,0,60,2025-04-30 15:48:48.000000 UTC
wholesale,SKU-06952,SHP-0021505,2,0,400,0,400,2025-04-30 13:44:20.000000 UTC
online,SKU-08583,SHP-0025550,2,0,1100,231,869,2025-04-30 13:59:04.000000 UTC
wholesale,SKU-08630,SHP-0023865,1,0,60,0,60,2026-03-22 05:28:14.000000 UTC
online,SKU-04882,SHP-0006494,3,3,840,176.4,663.6,2026-03-22 05:30:25.000000 UTC
retail,SKU-04135,SHP-0022282,3,1,840,176.4,663.6,2026-03-22 18:15:29.000000 UTC
online,SKU-08095,SHP-0014442,3,0,540,113.4,426.6,2026-03-22 07:20:42.000000 UTC
retail,SKU-07323,SHP-0010758,3,3,540,113.4,426.6,2026-03-22 19:58:37.000000 UTC
online,SKU-06666,SHP-0005037,3,1,1350,283.5,1066.5,2026-03-22 22:11:48.000000 UTC
online,SKU-09214,SHP-0014981,4,4,1000,210,790,2026-03-22 13:25:18.000000 UTC
online,SKU-09176,SHP-0015522,4,0,1000,210,790,2026-03-22 17:47:42.000000 UTC
wholesale,SKU-07141,SHP-0017505,1,0,550,0,550,2024-06-19 06:41:29.000000 UTC
online,SKU-01813,SHP-0020185,2,0,1100,231,869,2024-06-19 13:54:21.000000 UTC
retail,SKU-08843,SHP-0016757,3,0,540,113.4,426.6,2024-06-19 17:30:06.000000 UTC
wholesale,SKU-05107,SHP-0023160,4,0,1120,0,1120,2024-06-19 18:42:46.000000 UTC
wholesale,SKU-97653,SHP-0004065,1,0,30,0,30,2024-06-05 00:57:01.000000 UTC
wholesale,SKU-05638,SHP-0028505,1,0,60,0,60,2024-06-05 13:28:20.000000 UTC
wholesale,SKU-02129,SHP-0027905,2,0,700,0,700,2024-06-05 18:26:02.000000 UTC
online,SKU-07811,SHP-0012390,3,0,270,56.7,213.3,2024-06-05 05:50:33.000000 UTC
wholesale,SKU-01807,SHP-0010956,2,0,240,0,240,2025-02-17 14:19:42.000000 UTC
wholesale,SKU-04249,SHP-0011529,1,0,30,0,30,2025-02-17 18:14:52.000000 UTC
wholesale,SKU-05506,SHP-0027033,4,0,880,0,880,2025-02-17 23:55:12.000000 UTC
online,SKU-04424,SHP-0008497,3,0,840,176.4,663.6,2025-02-07 15:51:10.000000 UTC
online,SKU-05200,SHP-0017274,3,0,540,113.4,426.6,2025-02-07 03:26:25.000000 UTC
retail,SKU-02129,SHP-0010154,3,0,1050,220.5,829.5,2025-02-07 21:54:35.000000 UTC
online,SKU-97186,SHP-0009644,4,0,1200,252,948,2025-02-07 07:13:04.000000 UTC
online,SKU-04253,SHP-0025498,4,0,1400,294,1106,2025-02-07 06:35:36.000000 UTC
wholesale,SKU-02918,SHP-0023517,2,0,900,0,900,2024-07-16 11:22:38.000000 UTC
marketplace,SKU-07824,SHP-0004738,3,0,840,176.4,663.6,2024-07-16 22:46:12.000000 UTC
online,SKU-08583,SHP-0002899,3,0,1650,346.5,1303.5,2024-07-16 02:46:41.000000 UTC
online,SKU-07051,SHP-0025240,4,0,320,67.2,252.8,2024-07-16 08:34:42.000000 UTC
wholesale,SKU-05221,SHP-0015220,1,0,550,0,550,2025-03-27 03:45:21.000000 UTC
wholesale,SKU-07194,SHP-0019084,2,0,160,0,160,2025-03-27 04:56:03.000000 UTC
wholesale,SKU-03146,SHP-0001547,2,1,900,0,900,2025-03-27 13:46:47.000000 UTC
wholesale,SKU-06583,SHP-0025369,2,0,440,0,440,2025-03-27 13:47:21.000000 UTC
wholesale,SKU-07725,SHP-0002163,2,0,160,0,160,2025-03-27 16:22:47.000000 UTC
online,SKU-02680,SHP-0011255,3,2,1200,252,948,2025-03-27 16:51:13.000000 UTC
online,SKU-05898,SHP-0014962,4,2,720,151.2,568.8,2025-03-27 09:23:05.000000 UTC
wholesale,SKU-02021,SHP-0009461,1,0,60,0,60,2025-10-23 02:27:46.000000 UTC
wholesale,SKU-03880,SHP-0028154,1,0,30,0,30,2025-10-23 07:36:24.000000 UTC
wholesale,SKU-02680,SHP-0007466,1,0,400,0,400,2025-10-23 22:09:14.000000 UTC
wholesale,SKU-06947,SHP-0016882,2,0,240,0,240,2025-10-23 00:55:00.000000 UTC
online,SKU-04081,SHP-0023405,2,2,800,168,632,2025-10-23 00:18:06.000000 UTC
online,SKU-05840,SHP-0012765,3,0,1350,283.5,1066.5,2025-10-23 12:30:45.000000 UTC
retail,SKU-05221,SHP-0019679,4,0,2200,462,1738,2025-10-23 10:27:33.000000 UTC
wholesale,SKU-03880,SHP-0019004,1,0,30,0,30,2025-03-13 03:26:45.000000 UTC
wholesale,SKU-07051,SHP-0011340,2,0,160,0,160,2025-03-13 05:18:22.000000 UTC
wholesale,SKU-03093,SHP-0027122,2,0,360,0,360,2025-03-13 07:04:32.000000 UTC
wholesale,SKU-01756,SHP-0021021,4,0,1200,0,1200,2025-03-13 15:03:32.000000 UTC
wholesale,SKU-09925,SHP-0000026,2,0,700,0,700,2026-03-21 09:58:27.000000 UTC
marketplace,SKU-06665,SHP-0003470,2,0,500,105,395,2026-03-21 16:31:50.000000 UTC
wholesale,SKU-07949,SHP-0002766,4,0,480,0,480,2026-03-21 15:53:32.000000 UTC
online,SKU-05221,SHP-0012501,4,0,2200,462,1738,2026-03-21 04:04:28.000000 UTC
online,SKU-08987,SHP-0003544,4,0,320,67.2,252.8,2026-03-21 14:54:52.000000 UTC
wholesale,SKU-08843,SHP-0006602,3,0,540,0,540,2025-07-18 20:05:14.000000 UTC
wholesale,SKU-07949,SHP-0022171,4,0,480,0,480,2025-07-18 08:05:05.000000 UTC
wholesale,SKU-04135,SHP-0010746,4,0,1120,0,1120,2025-07-18 09:44:17.000000 UTC
online,SKU-06927,SHP-0004674,4,0,880,184.8,695.2,2025-07-18 21:15:13.000000 UTC
